round,roundName,pageUrl,id,home.name,home.id,away.name,away.id
1,1,https://www.fotmob.com/matches/south-africa-vs-mexico/1einvt#4667751,4667751,Mexico,6710,South Africa,6316
1,1,https://www.fotmob.com/matches/south-korea-vs-czechia/273opa#4667752,4667752,Korea Republic,7804,Czechia,8496
1,1,https://www.fotmob.com/matches/canada-vs-bosnia-herzegovina/23f1qo#4667757,4667757,Canada,5810,Bosnia-Herzegovina,10106
1,1,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,4667771,United States,6713,Paraguay,6724
1,1,https://www.fotmob.com/matches/qatar-vs-switzerland/1beswv#4667758,4667758,Qatar,5902,Switzerland,6717
1,1,https://www.fotmob.com/matches/morocco-vs-brazil/1qr4gd#4667764,4667764,Brazil,8256,Morocco,6262
1,1,https://www.fotmob.com/matches/haiti-vs-scotland/1q0g2q#4667765,4667765,Haiti,5934,Scotland,8498
1,1,https://www.fotmob.com/matches/turkiye-vs-australia/1gr3uk#4667772,4667772,Australia,6716,Türkiye,6595
1,1,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,4667777,Germany,8570,Curaçao,287981
1,1,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,4667783,Netherlands,6708,Japan,6715
1,1,https://www.fotmob.com/matches/ecuador-vs-ivory-coast/1hl6kp#4667778,4667778,Côte d'Ivoire,6709,Ecuador,6707
1,1,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,4667784,Sweden,8520,Tunisia,6719
1,1,https://www.fotmob.com/matches/cape-verde-vs-spain/1bbtuo#4667798,4667798,Spain,6720,Cape Verde,5888
1,1,https://www.fotmob.com/matches/belgium-vs-egypt/2u3bhg#4667790,4667790,Belgium,8263,Egypt,10255
1,1,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,4667799,Saudi Arabia,7795,Uruguay,5796
1,1,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,4667791,IR Iran,6711,New Zealand,5820
1,1,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,4667804,France,6723,Senegal,6395
1,1,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,4667805,Iraq,5819,Norway,8492
1,1,https://www.fotmob.com/matches/algeria-vs-argentina/1ehtqa#4667812,4667812,Argentina,6706,Algeria,6317
1,1,https://www.fotmob.com/matches/jordan-vs-austria/1my603#4667813,4667813,Austria,8255,Jordan,5816
1,1,https://www.fotmob.com/matches/dr-congo-vs-portugal/1s6g4o#4667819,4667819,Portugal,8361,Congo DR,6321
